Survived,Pclass,Sex,Age,Fare,Embarked,Title,CategoricalAge,WomanWithKid,PersonsInTicket,Cost,FareLog,CostLog,CategoricalFare,CategoricalCost
0.0,3,0,22,7,1,1,2,0,1,7,3.04,3.04,1,7
1.0,1,1,38,71,2,4,3,0,2,36,6.18,5.2,4,2
1.0,3,1,26,8,1,2,2,0,1,8,3.16,3.16,1,8
1.0,1,1,35,53,1,4,3,0,2,27,5.76,4.78,4,1
0.0,3,0,35,8,1,1,3,0,1,8,3.18,3.18,1,8
0.0,3,0,44,8,3,1,3,0,1,8,3.24,3.24,1,8
0.0,1,0,54,52,1,1,4,0,2,26,5.72,4.75,4,1
0.0,3,0,2,21,1,5,1,0,5,4,4.46,2.38,3,7
1.0,3,1,27,11,1,4,2,1,3,4,3.6,2.24,2,7
1.0,2,1,14,30,2,4,1,0,2,15,4.96,4.0,3,6
1.0,3,1,4,17,1,3,1,0,3,6,4.15,2.72,3,7
1.0,1,1,58,27,1,2,4,0,1,27,4.78,4.78,3,1
0.0,3,0,20,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,39,31,1,1,3,0,7,4,5.01,2.45,3,7
0.0,3,1,14,8,1,3,1,0,1,8,3.15,3.15,1,8
1.0,2,1,55,16,1,4,4,0,1,16,4.09,4.09,3,6
0.0,3,0,2,29,3,5,1,0,6,5,4.91,2.55,3,7
1.0,2,0,39,13,1,1,3,0,1,13,3.81,3.81,2,5
0.0,3,1,31,18,1,4,2,0,2,9,4.25,3.32,3,9
1.0,3,1,41,7,2,4,3,0,1,7,3.04,3.04,1,7
0.0,2,0,35,26,1,1,3,0,2,13,4.75,3.81,3,5
1.0,2,0,34,13,1,1,3,0,1,13,3.81,3.81,2,5
1.0,3,1,15,8,3,3,1,0,1,8,3.17,3.17,1,8
1.0,1,0,28,36,1,1,2,0,1,36,5.19,5.19,4,2
0.0,3,1,8,21,1,3,1,0,5,4,4.46,2.38,3,7
1.0,3,1,38,31,1,4,3,1,7,4,5.02,2.45,3,7
0.0,3,0,31,7,2,1,2,0,1,7,3.04,3.04,1,7
0.0,1,0,19,263,1,1,2,0,6,44,8.04,5.49,4,3
1.0,3,1,20,8,3,2,2,0,1,8,3.15,3.15,1,8
0.0,3,0,33,8,1,1,3,0,1,8,3.15,3.15,1,8
0.0,1,0,40,28,2,1,3,0,1,28,4.84,4.84,3,2
1.0,1,1,29,147,2,4,2,0,3,49,7.2,5.64,4,3
1.0,3,1,23,8,3,2,2,0,1,8,3.13,3.13,1,8
0.0,2,0,66,10,1,1,5,0,1,10,3.52,3.52,2,4
0.0,1,0,28,82,2,1,2,0,2,41,6.38,5.4,4,3
0.0,1,0,42,52,1,1,3,0,2,26,5.73,4.75,4,1
1.0,3,0,26,7,2,1,2,0,1,7,3.04,3.04,1,7
0.0,3,0,21,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,1,18,18,1,2,2,0,2,9,4.25,3.32,3,9
1.0,3,1,14,11,2,3,1,0,2,6,3.61,2.73,2,7
0.0,3,1,40,9,1,4,3,0,1,9,3.39,3.39,2,9
0.0,2,1,27,21,1,4,2,0,2,10,4.46,3.52,3,4
0.0,3,0,27,8,2,1,2,0,1,8,3.15,3.15,1,8
1.0,2,1,3,42,2,3,1,0,4,10,5.41,3.51,4,4
1.0,3,1,19,8,3,2,2,0,1,8,3.15,3.15,1,8
0.0,3,0,22,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,21,16,3,1,2,0,2,8,4.04,3.13,3,8
1.0,3,1,19,8,3,2,2,0,1,8,3.13,3.13,1,8
0.0,3,0,22,22,2,1,2,0,3,7,4.5,3.04,3,7
0.0,3,1,18,18,1,4,2,0,2,9,4.23,3.31,3,9
0.0,3,0,7,40,1,5,1,0,7,6,5.35,2.74,4,7
0.0,3,0,21,8,1,1,2,0,1,8,3.14,3.14,1,8
1.0,1,1,49,77,2,4,4,1,3,26,6.28,4.73,4,1
1.0,2,1,29,26,1,4,2,0,2,13,4.75,3.81,3,5
0.0,1,0,65,62,2,1,5,0,2,31,5.98,5.0,4,2
1.0,1,0,28,36,1,1,2,0,1,36,5.19,5.19,4,2
1.0,2,1,21,10,1,2,2,0,1,10,3.52,3.52,2,4
0.0,3,0,28,7,2,1,2,0,1,7,3.04,3.04,1,7
1.0,2,1,5,28,1,3,1,0,4,7,4.85,2.99,3,4
0.0,3,0,11,47,1,5,1,0,8,6,5.58,2.78,4,7
0.0,3,0,22,7,2,1,2,0,1,7,3.04,3.04,1,7
1.0,1,1,38,80,1,2,3,0,2,40,6.34,5.36,4,3
0.0,1,0,45,83,1,1,3,0,2,42,6.4,5.42,4,3
0.0,3,0,4,28,1,5,1,0,6,5,4.85,2.5,3,7
0.0,1,0,26,28,2,1,2,0,1,28,4.84,4.84,3,2
1.0,3,0,5,15,2,5,1,0,3,5,4.02,2.6,3,7
1.0,2,1,29,10,1,4,2,0,1,10,3.52,3.52,2,4
0.0,3,0,19,8,1,1,2,0,1,8,3.2,3.2,1,8
1.0,3,1,17,8,1,2,2,1,1,8,3.16,3.16,1,8
0.0,3,0,26,9,1,1,2,0,1,9,3.27,3.27,2,9
0.0,2,0,32,10,1,1,3,0,1,10,3.52,3.52,2,4
0.0,3,1,16,47,1,2,2,1,8,6,5.58,2.78,4,7
0.0,2,0,21,74,1,1,2,0,7,10,6.22,3.52,4,4
0.0,3,0,26,14,2,1,2,0,2,7,3.95,3.04,2,7
1.0,3,0,32,56,1,1,3,0,8,7,5.85,3.01,4,7
0.0,3,0,25,8,1,1,2,0,1,8,3.11,3.11,1,8
0.0,3,0,38,8,1,1,3,0,1,8,3.15,3.15,1,8
0.0,3,0,31,8,1,1,2,0,1,8,3.18,3.18,1,8
1.0,2,0,0,29,1,5,1,0,3,10,4.91,3.42,3,4
1.0,3,1,30,12,1,2,2,0,2,6,3.75,2.86,2,7
0.0,3,0,22,9,1,1,2,0,1,9,3.32,3.32,2,9
1.0,3,0,29,10,1,1,2,0,1,10,3.39,3.39,2,9
1.0,3,1,18,8,3,2,2,0,1,8,3.14,3.14,1,8
0.0,1,0,28,47,1,1,2,0,2,24,5.59,4.62,4,1
1.0,2,1,17,10,1,2,2,0,1,10,3.52,3.52,2,4
1.0,3,1,33,16,1,4,3,0,2,8,4.07,3.16,3,8
0.0,3,0,16,34,1,1,2,0,5,7,5.14,2.98,4,7
0.0,3,0,44,8,1,1,3,0,1,8,3.18,3.18,1,8
1.0,1,1,23,263,1,2,2,0,6,44,8.04,5.49,4,3
0.0,3,0,24,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,29,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,20,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,1,0,46,61,1,1,3,0,2,31,5.96,4.98,4,2
0.0,3,0,26,21,1,1,2,0,4,5,4.43,2.62,3,7
0.0,3,0,59,7,1,1,4,0,1,7,3.04,3.04,1,7
0.0,3,0,22,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,1,0,71,35,2,1,5,0,1,35,5.16,5.16,4,2
1.0,1,0,23,63,2,1,2,0,2,32,6.01,5.03,4,2
1.0,2,1,34,23,1,4,3,0,2,12,4.58,3.64,3,5
0.0,2,0,34,26,1,1,3,0,2,13,4.75,3.81,3,5
0.0,3,1,28,8,1,2,2,0,1,8,3.15,3.15,1,8
0.0,3,0,20,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,1,0,21,77,1,1,2,0,2,39,6.29,5.31,4,3
0.0,3,0,33,9,1,1,3,0,1,9,3.27,3.27,2,9
0.0,3,0,37,8,1,1,3,0,1,8,3.16,3.16,1,8
0.0,3,0,28,8,1,1,2,0,1,8,3.15,3.15,1,8
1.0,3,1,21,8,1,2,2,0,1,8,3.11,3.11,1,8
1.0,3,0,28,8,1,1,2,0,1,8,3.13,3.13,1,8
0.0,3,0,38,8,1,1,3,0,1,8,3.15,3.15,1,8
1.0,3,1,30,24,3,2,2,0,3,8,4.65,3.18,3,8
0.0,1,0,47,52,1,1,3,0,2,26,5.73,4.75,4,1
0.0,3,1,14,14,2,3,1,0,2,7,3.95,3.04,2,7
0.0,3,0,22,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,1,20,10,1,2,2,0,1,10,3.44,3.44,2,9
0.0,3,1,17,14,2,2,2,0,2,7,3.95,3.04,2,7
0.0,3,0,21,8,1,1,2,0,1,8,3.16,3.16,1,8
0.0,3,0,70,8,3,1,5,0,1,8,3.13,3.13,1,8
0.0,2,0,29,21,1,1,2,0,2,10,4.46,3.52,3,4
0.0,1,0,24,248,2,1,2,0,3,83,7.96,6.38,4,3
0.0,3,1,2,31,1,3,1,0,7,4,5.01,2.45,3,7
0.0,2,0,21,74,1,1,2,0,7,10,6.22,3.52,4,4
0.0,3,0,35,8,1,1,3,0,1,8,3.18,3.18,1,8
0.0,2,0,32,30,2,1,3,0,2,15,4.96,4.0,3,6
1.0,2,1,32,13,1,2,3,0,1,13,3.81,3.81,2,5
0.0,1,0,54,77,1,1,4,0,2,39,6.29,5.31,4,3
1.0,3,0,12,11,2,5,1,0,2,6,3.61,2.73,2,7
0.0,3,0,24,8,3,1,2,0,1,8,3.13,3.13,1,8
1.0,3,0,24,7,1,1,2,0,1,7,3.03,3.03,1,7
1.0,3,1,22,22,2,2,2,1,3,7,4.55,3.08,3,7
0.0,3,0,45,7,1,1,3,0,1,7,3.0,3.0,1,7
0.0,3,0,33,8,2,1,3,0,1,8,3.15,3.15,1,8
0.0,3,0,20,7,1,1,2,0,1,7,3.01,3.01,1,7
0.0,3,1,47,14,1,4,3,0,2,7,3.95,3.04,2,7
1.0,2,1,29,26,1,4,2,0,2,13,4.75,3.81,3,5
0.0,2,0,25,13,1,1,2,0,1,13,3.81,3.81,2,5
0.0,2,0,23,15,2,1,2,0,1,15,4.0,4.0,3,6
1.0,1,1,19,26,1,2,2,0,1,26,4.77,4.77,3,1
0.0,1,0,37,53,1,1,3,0,2,27,5.76,4.78,4,1
0.0,3,0,16,9,1,1,2,0,2,5,3.35,2.49,2,7
0.0,1,0,24,79,2,1,2,0,2,40,6.33,5.34,4,3
0.0,3,1,32,15,2,4,3,1,3,5,4.02,2.6,3,7
1.0,3,1,22,8,1,2,2,0,1,8,3.13,3.13,1,8
1.0,3,1,24,16,1,4,2,0,2,8,4.07,3.16,3,8
0.0,3,0,19,7,3,1,2,0,1,7,2.95,2.95,1,7
0.0,2,0,18,12,1,1,2,0,1,12,3.64,3.64,2,5
0.0,2,0,19,37,1,1,2,0,4,9,5.24,3.35,4,4
1.0,3,0,27,8,1,1,2,0,1,8,3.14,3.14,1,8
0.0,3,1,9,34,1,3,1,0,5,7,5.14,2.98,4,7
0.0,2,0,36,26,1,1,3,0,3,9,4.75,3.27,3,4
0.0,2,0,42,13,1,1,3,0,1,13,3.81,3.81,2,5
0.0,2,0,51,13,1,1,4,0,1,13,3.76,3.76,2,5
1.0,1,1,22,67,1,4,2,0,2,33,6.08,5.1,4,2
0.0,3,0,55,8,1,1,4,0,1,8,3.18,3.18,1,8
0.0,3,0,40,14,1,1,3,0,3,5,3.95,2.54,2,7
0.0,3,0,40,7,1,1,3,0,1,7,3.06,3.05,1,7
0.0,1,0,51,61,2,1,4,0,2,31,5.96,4.99,4,2
1.0,3,1,16,8,3,2,2,0,1,8,3.13,3.13,1,8
0.0,3,0,30,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,0,37,9,1,1,3,0,1,9,3.27,3.27,2,9
0.0,3,0,5,70,1,5,1,0,11,6,6.14,2.87,4,7
0.0,3,0,44,16,1,1,3,0,2,8,4.1,3.18,3,8
1.0,2,1,40,16,1,4,3,1,2,8,4.07,3.15,3,4
0.0,3,0,26,8,1,1,2,0,1,8,3.13,3.13,1,8
0.0,3,0,17,9,1,1,2,0,1,9,3.27,3.27,2,9
0.0,3,0,1,40,1,5,1,0,7,6,5.35,2.74,4,7
1.0,3,0,9,21,1,5,1,0,3,7,4.43,2.97,3,7
1.0,1,1,47,55,1,4,3,0,2,28,5.81,4.83,4,2
0.0,3,1,45,28,1,4,3,1,6,5,4.85,2.5,3,7
0.0,1,0,42,26,1,1,3,0,1,26,4.75,4.75,3,1
0.0,3,0,28,56,1,1,2,0,8,7,5.85,3.01,4,7
0.0,1,0,61,34,1,1,4,0,1,34,5.11,5.11,4,2
0.0,3,0,4,29,3,5,1,0,6,5,4.91,2.55,3,7
1.0,3,1,1,11,1,3,1,0,3,4,3.6,2.24,2,7
0.0,3,0,21,8,1,1,2,0,1,8,3.16,3.16,1,8
0.0,1,0,56,31,2,1,4,0,1,31,4.99,4.99,3,2
0.0,3,0,18,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,3,0,3,25,1,5,1,0,5,5,4.73,2.61,3,7
0.0,1,1,50,29,2,2,4,0,1,29,4.89,4.89,3,2
0.0,2,0,30,13,1,1,2,0,1,13,3.81,3.81,2,5
0.0,3,0,36,0,1,1,3,0,4,0,0.0,0.0,1,7
0.0,3,1,23,70,1,2,2,1,11,6,6.14,2.87,4,7
0.0,2,0,27,15,2,1,2,0,1,15,4.0,4.0,3,6
0.0,3,0,9,31,1,5,1,0,7,4,5.02,2.45,3,7
1.0,2,0,1,39,1,5,1,0,4,10,5.32,3.43,4,4
1.0,3,1,4,22,1,3,1,0,3,7,4.53,3.06,3,7
0.0,1,0,44,50,1,1,3,0,1,50,5.67,5.67,4,3
1.0,3,1,37,16,3,4,3,0,2,8,4.04,3.13,3,8
1.0,1,0,45,27,1,1,3,0,1,27,4.78,4.78,3,1
0.0,3,0,40,16,3,1,3,0,2,8,4.04,3.13,3,8
0.0,3,0,36,8,1,1,3,0,1,8,3.15,3.15,1,8
1.0,2,1,32,13,1,4,3,0,1,13,3.81,3.81,2,5
0.0,2,0,19,13,1,1,2,0,1,13,3.81,3.81,2,5
1.0,3,1,19,8,1,2,2,0,1,8,3.15,3.15,1,8
1.0,2,0,3,26,1,5,1,0,3,9,4.75,3.27,3,4
1.0,1,1,44,28,2,4,3,1,1,28,4.84,4.84,3,2
1.0,1,1,58,147,2,2,4,0,3,49,7.2,5.64,4,3
0.0,3,0,33,8,3,1,3,0,1,8,3.13,3.13,1,8
0.0,3,0,42,8,1,1,3,0,1,8,3.23,3.23,1,8
1.0,3,1,19,8,3,2,2,0,1,8,3.13,3.13,1,8
0.0,2,1,24,13,1,2,2,0,1,13,3.81,3.81,2,5
0.0,3,0,28,10,1,1,2,0,1,10,3.39,3.39,2,9
0.0,3,0,33,70,1,1,3,0,11,6,6.14,2.87,4,7
0.0,3,0,34,6,1,1,3,0,1,6,2.91,2.91,1,7
0.0,3,0,45,7,2,1,3,0,1,7,3.04,3.04,1,7
1.0,3,0,18,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,3,1,2,10,1,3,1,0,2,5,3.52,2.64,2,7
0.0,3,0,32,16,1,1,3,0,2,8,4.07,3.16,3,8
1.0,3,0,26,19,2,1,2,0,2,9,4.31,3.38,3,9
1.0,3,1,16,8,3,2,2,0,1,8,3.13,3.13,1,8
1.0,1,0,40,31,2,1,3,0,1,31,5.0,5.0,3,2
0.0,3,0,24,7,1,1,2,0,1,7,3.01,3.01,1,7
1.0,2,1,35,21,1,2,3,0,2,10,4.46,3.52,3,4
0.0,3,0,22,7,1,1,2,0,1,7,3.04,3.04,1,7
0.0,2,0,30,13,1,1,2,0,1,13,3.81,3.81,2,5
0.0,3,0,33,8,3,1,3,0,1,8,3.13,3.13,1,8
1.0,1,1,31,113,2,2,2,0,3,38,6.84,5.28,4,3
1.0,3,1,27,8,1,2,2,0,1,8,3.16,3.16,1,8
0.0,2,0,42,27,1,1,3,0,2,14,4.81,3.86,3,6
1.0,1,1,32,76,2,2,3,0,2,38,6.27,5.29,4,3
0.0,2,0,30,10,1,1,2,0,1,10,3.52,3.52,2,4
1.0,3,0,16,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,2,0,27,13,1,1,2,0,1,13,3.81,3.81,2,5
0.0,3,0,51,8,1,1,4,0,1,8,3.18,3.18,1,8
0.0,3,0,36,8,1,1,3,0,1,8,3.15,3.15,1,8
1.0,1,0,38,90,1,1,3,0,2,45,6.51,5.52,4,3
0.0,3,0,22,9,1,1,2,0,1,9,3.37,3.37,2,9
1.0,2,0,19,10,1,1,2,0,1,10,3.52,3.52,2,4
0.0,3,0,20,7,1,1,2,0,1,7,3.04,3.04,1,7
0.0,2,0,18,13,1,1,2,0,1,13,3.81,3.81,2,5
0.0,3,1,28,25,1,2,2,1,5,5,4.73,2.61,3,7
1.0,1,1,35,83,1,4,3,0,2,42,6.4,5.42,4,3
0.0,3,0,29,8,1,1,2,0,1,8,3.13,3.13,1,8
0.0,2,0,59,14,1,1,4,0,1,14,3.86,3.86,2,6
1.0,3,1,5,31,1,3,1,0,7,4,5.02,2.45,3,7
0.0,2,0,24,10,1,1,2,0,1,10,3.52,3.52,2,4
0.0,3,1,30,8,1,2,2,0,1,8,3.1,3.1,1,8
0.0,2,0,44,26,1,1,3,0,2,13,4.75,3.81,3,5
1.0,2,1,8,26,1,3,1,0,3,9,4.77,3.29,3,4
0.0,2,0,19,10,1,1,2,0,1,10,3.52,3.52,2,4
0.0,2,0,33,12,1,1,3,0,1,12,3.73,3.73,2,5
0.0,3,1,23,14,2,2,2,1,2,7,3.95,3.04,2,7
1.0,3,1,17,16,3,2,2,0,2,8,4.04,3.13,3,8
0.0,2,0,29,10,1,1,2,0,1,10,3.52,3.52,2,4
0.0,3,0,22,7,1,1,2,0,1,7,3.02,3.02,1,7
0.0,3,0,30,7,2,1,2,0,1,7,3.04,3.04,1,7
0.0,1,0,44,90,3,1,3,0,3,30,6.51,4.95,4,2
0.0,3,1,25,8,1,2,2,0,1,8,3.13,3.13,1,8
1.0,2,1,24,14,1,4,2,1,2,7,3.95,3.04,2,4
1.0,1,0,37,53,1,1,3,0,2,26,5.74,4.77,4,1
0.0,2,0,54,26,1,1,4,0,2,13,4.75,3.81,3,5
0.0,3,0,39,7,1,1,3,0,1,7,3.04,3.04,1,7
0.0,3,1,29,10,1,4,2,1,2,5,3.52,2.64,2,7
0.0,1,0,62,27,1,1,4,0,1,27,4.78,4.78,3,1
0.0,3,0,30,16,1,1,2,0,2,8,4.1,3.18,3,8
0.0,3,1,41,20,1,4,3,1,3,7,4.41,2.95,3,7
1.0,3,1,29,15,2,4,2,1,3,5,4.02,2.6,3,7
1.0,1,1,44,79,2,4,3,0,2,40,6.33,5.34,4,3
1.0,1,1,30,86,1,2,2,0,3,29,6.45,4.9,4,2
1.0,1,1,35,512,2,2,3,0,4,128,9.0,7.01,4,3
1.0,2,1,50,26,1,4,4,0,2,13,4.75,3.81,3,5
0.0,3,0,35,8,3,1,3,0,1,8,3.13,3.13,1,8
1.0,3,0,3,31,1,5,1,0,7,4,5.02,2.45,3,7
0.0,1,0,52,80,1,1,4,0,3,27,6.33,4.78,4,1
0.0,1,0,40,0,1,1,3,0,1,0,0.0,0.0,1,1
0.0,3,1,20,8,3,2,2,0,1,8,3.13,3.13,1,8
0.0,2,0,36,10,1,1,3,0,1,10,3.52,3.52,2,4
0.0,3,0,16,40,1,1,2,0,7,6,5.35,2.74,4,7
1.0,3,0,25,8,1,1,2,0,1,8,3.13,3.13,1,8
1.0,1,1,58,153,1,4,4,0,3,51,7.27,5.7,4,3
1.0,1,1,35,136,1,2,3,0,4,34,7.09,5.13,4,2
0.0,1,0,33,31,1,1,3,0,2,16,5.0,4.04,3,1
1.0,3,0,25,0,1,1,2,0,4,0,0.0,0.0,1,7
1.0,2,1,41,20,1,4,3,1,2,10,4.36,3.43,3,4
0.0,1,0,37,30,2,1,3,0,1,30,4.94,4.94,3,2
1.0,3,1,20,8,3,2,2,0,1,8,3.13,3.13,1,8
1.0,1,1,63,78,1,2,4,0,3,26,6.3,4.75,4,1
0.0,3,1,45,8,1,2,3,0,1,8,3.13,3.13,1,8
0.0,2,0,32,0,1,1,3,0,3,0,0.0,0.0,1,4
0.0,3,0,7,29,3,5,1,0,6,5,4.91,2.55,3,7
1.0,3,1,35,20,1,4,3,1,3,7,4.41,2.95,3,7
0.0,3,0,65,8,3,1,5,0,1,8,3.13,3.13,1,8
0.0,3,0,28,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,3,0,16,10,1,1,2,0,1,10,3.39,3.39,2,9
1.0,3,0,19,8,1,1,2,0,1,8,3.18,3.18,1,8
0.0,1,0,43,26,1,1,3,0,1,26,4.75,4.75,3,1
0.0,3,0,33,9,2,1,3,0,1,9,3.27,3.27,2,9
1.0,3,0,30,10,1,1,2,0,1,10,3.39,3.39,2,9
0.0,3,0,22,8,1,1,2,0,1,8,3.15,3.15,1,8
1.0,2,0,42,13,1,1,3,0,1,13,3.81,3.81,2,5
1.0,3,1,22,8,3,2,2,0,1,8,3.13,3.13,1,8
1.0,1,1,26,79,1,2,2,0,3,26,6.32,4.77,4,1
1.0,1,1,19,91,2,4,2,0,2,46,6.52,5.54,4,3
0.0,2,0,36,13,2,1,3,0,1,13,3.79,3.79,2,5
0.0,3,1,24,9,1,2,2,0,1,9,3.3,3.3,2,9
0.0,3,0,24,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,1,0,26,28,2,1,2,0,1,28,4.84,4.84,3,2
0.0,3,0,23,7,2,1,2,0,1,7,3.04,3.04,1,7
0.0,1,1,2,152,1,3,1,0,6,25,7.25,4.71,4,1
1.0,1,0,41,30,1,1,3,0,1,30,4.98,4.98,3,2
1.0,1,1,50,248,2,4,4,0,3,83,7.96,6.38,4,3
1.0,3,1,21,8,3,2,2,0,1,8,3.13,3.13,1,8
1.0,3,0,25,23,3,1,2,0,3,8,4.6,3.13,3,8
0.0,3,0,19,0,1,1,2,0,4,0,0.0,0.0,1,7
1.0,2,1,29,12,3,2,2,0,1,12,3.74,3.74,2,5
0.0,3,0,33,8,1,1,3,0,1,8,3.18,3.18,1,8
1.0,1,0,0,152,1,5,1,0,6,25,7.25,4.71,4,1
1.0,1,1,18,111,2,2,2,0,4,28,6.81,4.84,4,2
1.0,1,1,17,109,2,4,2,0,3,36,6.78,5.22,4,2
0.0,2,0,30,24,2,1,2,0,2,12,4.64,3.7,3,5
1.0,1,1,30,57,2,2,2,0,2,28,5.86,4.88,4,2
1.0,1,1,24,83,2,2,2,0,3,28,6.4,4.84,4,2
1.0,1,1,18,262,2,2,2,1,7,37,8.04,5.27,4,3
0.0,2,1,26,26,1,4,2,0,2,13,4.75,3.81,3,5
0.0,3,0,28,8,1,1,2,0,1,8,3.15,3.15,1,8
0.0,2,0,43,26,1,1,3,0,3,9,4.77,3.29,3,4
1.0,3,1,26,8,1,2,2,0,1,8,3.15,3.15,1,8
1.0,2,1,24,26,1,4,2,0,2,13,4.75,3.81,3,5
0.0,2,0,54,14,1,1,4,0,1,14,3.91,3.91,2,6
1.0,1,1,31,165,1,2,2,0,4,41,7.37,5.4,4,3
1.0,1,1,40,134,2,4,3,1,5,27,7.08,4.8,4,1
0.0,3,0,22,7,1,1,2,0,1,7,3.04,3.04,1,7
0.0,3,0,27,8,1,1,2,0,1,8,3.15,3.15,1,8
1.0,2,1,30,12,3,2,2,0,1,12,3.74,3.74,2,5
1.0,2,1,22,29,1,4,2,1,3,10,4.91,3.42,3,4
0.0,3,0,28,70,1,1,2,0,11,6,6.14,2.87,4,7
